,date,name,code,jeton,price,percentage
0,06-03,京东方A,000725,6436034.56856713,2.55,0.04167816154755444
1,06-03,京东方A,000725,14281471.5434595,2.58,0.09357130145791107
2,06-03,京东方A,000725,32575663.0585923,2.61,0.21591547837487599
3,06-03,京东方A,000725,31604581.4101532,2.64,0.21188683540487832
4,06-03,京东方A,000725,49879720.7315179,2.67,0.33820909305313235
5,06-03,京东方A,000725,43922450.8466451,2.7,0.3011621124967275
6,06-03,京东方A,000725,19774670.7087772,2.73,0.13709509363045994
7,06-03,京东方A,000725,10743031.1180571,2.76,0.07529842997438646
8,06-03,京东方A,000725,9728927.35301216,2.79,0.06893172852148058
9,06-03,京东方A,000725,10863124.6598371,2.82,0.07779539259512935
10,06-03,京东方A,000725,14306065.1491533,2.85,0.1035416457578794
11,06-03,京东方A,000725,7948921.26326209,2.88,0.05813674173019166
12,06-03,京东方A,000725,9439344.00012375,2.91,0.06975652018798402
13,06-03,京东方A,000725,9128839.2632776,2.94,0.06815738129599162
14,06-03,京东方A,000725,5216479.57901573,2.97,0.039344494159201854
15,06-03,京东方A,000725,1304119.89475392,3.0,0.009935478323030674
16,06-03,京东方A,000725,4861117.80015336,3.16,0.039009755950091006
17,06-03,京东方A,000725,9722235.60030665,3.19,0.07876020346885407
18,06-03,京东方A,000725,11666682.720368,3.22,0.09540107404503219
19,06-03,京东方A,000725,7777788.48024532,3.25,0.06419326928495943
20,06-03,京东方A,000725,7717601.55574935,3.27,0.06408850057867614
21,06-03,京东方A,000725,34118957.7403609,3.31,0.2867964391861519
22,06-03,京东方A,000725,151023424.785245,3.34,1.2809753912267594
23,06-03,京东方A,000725,309037435.928187,3.37,2.644788804702819
24,06-03,京东方A,000725,441426254.147471,3.4,3.811422397997069
25,06-03,京东方A,000725,642578614.581065,3.43,5.5971944275510905
26,06-03,京东方A,000725,587699852.824981,3.46,5.163945926038444
27,06-03,京东方A,000725,381698133.80691,3.49,3.3829491414675457
28,06-03,京东方A,000725,149154642.313146,3.5,1.325729207631507
29,06-03,京东方A,000725,86578254.5199211,3.55,0.7805256580664874
30,06-03,京东方A,000725,109481321.416809,3.58,0.9953436782203701
31,06-03,京东方A,000725,94132597.8473251,3.61,0.862973086264356
32,06-03,京东方A,000725,58013133.4403901,3.64,0.536262850453871
33,06-03,京东方A,000725,53169159.8061195,3.67,0.4955367486213584
34,06-03,京东方A,000725,62512924.705979,3.7,0.5873832357614612
35,06-03,京东方A,000725,87657936.3716566,3.73,0.8303287572249314
36,06-03,京东方A,000725,145025161.184746,3.76,1.3847813532880164
37,06-03,京东方A,000725,238286144.414869,3.79,2.2934432877981776
38,06-03,京东方A,000725,393995115.824906,3.82,3.8221190150047253
39,06-03,京东方A,000725,532853124.749417,3.85,5.209766413521353
40,06-03,京东方A,000725,591412623.569353,3.88,5.827366338861868
41,06-03,京东方A,000725,481880411.50986,3.91,4.78482474202092
42,06-03,京东方A,000725,747645224.862847,3.94,7.48069228961878
43,06-03,京东方A,000725,717581050.325587,3.97,7.234549181879434
44,06-03,京东方A,000725,462528241.743059,4.0,4.698381223090215
45,06-03,京东方A,000725,286944525.717319,4.03,2.9366554512817564
46,06-03,京东方A,000725,289773362.184437,4.06,2.9876828807014193
47,06-03,京东方A,000725,305431655.527769,4.09,3.172395749787968
48,06-03,京东方A,000725,252189584.142642,4.12,2.638604912857465
49,06-03,京东方A,000725,177248323.489829,4.15,1.8680144783415926
50,06-03,京东方A,000725,141185501.168464,4.18,1.498705795553094
51,06-03,京东方A,000725,183444267.801039,4.21,1.9612648577428071
52,06-03,京东方A,000725,155258446.890481,4.24,1.6717491043967636
53,06-03,京东方A,000725,125266968.565235,4.27,1.3583586351155674
54,06-03,京东方A,000725,99835135.2819523,4.3,1.0901891903705963
55,06-03,京东方A,000725,90903526.5463053,4.33,0.9995824748563129
56,06-03,京东方A,000725,109610196.602133,4.36,1.213633207609067
57,06-03,京东方A,000725,94791521.0688134,4.39,1.056778618250182
58,06-03,京东方A,000725,72358226.069038,4.42,0.8121947645976483
59,06-03,京东方A,000725,40906536.4277649,4.45,0.4622774674183128
60,06-03,京东方A,000725,25042568.1608301,4.48,0.2849094692491925
61,06-03,京东方A,000725,16462148.9487656,4.51,0.18854415516727552
62,06-03,京东方A,000725,11523504.2641359,4.54,0.1328588304039026
63,06-03,京东方A,000725,6584859.57950623,4.57,0.07642100125183574
64,06-03,京东方A,000725,1646214.89487667,4.6,0.01923066771107595
