,date,name,code,jeton,price,percentage
0,05-27,亚星客车,600213,3079.38115391603,7.9,0.002068035064298709
1,05-27,亚星客车,600213,9238.14346174797,8.0,0.006282638170021311
2,05-27,亚星客车,600213,19720.7769176789,8.1,0.013579269216535536
3,05-27,亚星客车,600213,23214.4248340964,8.2,0.01618225869361453
4,05-27,亚星客车,600213,43965.3925215553,8.3,0.031021043773362768
5,05-27,亚星客车,600213,57699.9590256394,8.4,0.041202365476178116
6,05-27,亚星客车,600213,73986.397581235,8.5,0.05346113403579153
7,05-27,亚星客车,600213,74017.8329050672,8.6,0.05411307033842264
8,05-27,亚星客车,600213,59150.5426300912,8.7,0.043746704741910135
9,05-27,亚星客车,600213,56137.9462731556,8.8,0.041995867032482606
10,05-27,亚星客车,600213,88783.2792798662,8.9,0.0671720415470861
11,05-27,亚星客车,600213,87144.9529209515,9.0,0.06667332414131746
12,05-27,亚星客车,600213,55666.3793807179,9.1,0.04306274664552445
13,05-27,亚星客车,600213,41295.9649945807,9.2,0.032297046270137145
14,05-27,亚星客车,600213,32096.9948093563,9.3,0.025375504176990863
15,05-27,亚星客车,600213,48990.1499721752,9.4,0.03914749540830605
16,05-27,亚星客车,600213,48990.1499721749,9.5,0.03956395812541545
17,05-27,亚星客车,600213,32096.994809356,9.6,0.026194068827861287
18,05-27,亚星客车,600213,15203.8396465371,9.7,0.012536963863334964
19,05-27,亚星客车,600213,229373.803363878,9.88,0.19264960361971686
20,05-27,亚星客车,600213,1420643.77429306,10.0,1.20768188426248
21,05-27,亚星客车,600213,2679621.1898557,10.1,2.3007113581149583
22,05-27,亚星客车,600213,2941187.05514291,10.2,2.5502935758971503
23,05-27,亚星客车,600213,4928083.03220921,10.3,4.315017889164401
24,05-27,亚星客车,600213,6205000.21023134,10.4,5.485831945062423
25,05-27,亚星客车,600213,7830400.2379792,10.5,6.989411645132355
26,05-27,亚星客车,600213,8627483.26494168,10.6,7.77422937435147
27,05-27,亚星客车,600213,7742636.48249517,10.7,7.042713257559381
28,05-27,亚星客车,600213,6198381.61223711,10.8,5.69074893081835
29,05-27,亚星客车,600213,4957110.14617409,10.9,4.593274775050409
30,05-27,亚星客车,600213,3669614.85110453,11.0,3.431472550615508
31,05-27,亚星客车,600213,2485840.92502025,11.1,2.3456524910455148
32,05-27,亚星客车,600213,1787906.1516949,11.2,1.7022764878453704
33,05-27,亚星客车,600213,1716526.8927045,11.3,1.648907960418287
34,05-27,亚星客车,600213,1082938.11997942,11.4,1.0494840727521815
35,05-27,亚星客车,600213,919719.772466846,11.5,0.8991263447536532
36,05-27,亚星客车,600213,1049954.57551022,11.6,1.0353706720721672
37,05-27,亚星客车,600213,1163371.25326181,11.7,1.1571017469767544
38,05-27,亚星客车,600213,1364503.04644928,11.8,1.3687491933187694
39,05-27,亚星客车,600213,1376889.48767911,11.9,1.3928790453873467
40,05-27,亚星客车,600213,1892824.1371703,12.0,1.9308959461223307
41,05-27,亚星客车,600213,2591998.02226712,12.1,2.666167286787706
42,05-27,亚星客车,600213,3478289.47143912,12.2,3.607388464192085
43,05-27,亚星客车,600213,3891687.68792521,12.3,4.069213260989134
44,05-27,亚星客车,600213,3516591.65016732,12.4,3.7069009788451126
45,05-27,亚星客车,600213,3293916.0442402,12.5,3.50017612340042
46,05-27,亚星客车,600213,2819391.98726754,12.6,3.0199055868060385
47,05-27,亚星客车,600213,2128866.25346459,12.7,2.298367425852409
48,05-27,亚星客车,600213,1553715.89363447,12.8,1.6906314250928007
49,05-27,亚星客车,600213,1351754.35177421,12.9,1.482363954338748
50,05-27,亚星客车,600213,1105697.80782143,13.0,1.2219323429132785
51,05-27,亚星客车,600213,947100.570661822,13.1,1.0547141031572604
52,05-27,亚星客车,600213,806806.1229994,13.2,0.9053374298093383
53,05-27,亚星客车,600213,672614.217633641,13.3,0.7604751783487766
54,05-27,亚星客车,600213,528886.996771842,13.4,0.6024694744389307
55,05-27,亚星客车,600213,375624.460414,13.5,0.43107714041639494
56,05-27,亚星客车,600213,222361.924056158,13.6,0.25707905269198433
57,05-27,亚星客车,600213,224636.166491128,13.7,0.26161799052715445
58,05-27,亚星客车,600213,226910.408926098,13.8,0.26619559479565336
59,05-27,亚星客车,600213,239944.128062782,13.9,0.2835256050086726
60,05-27,亚星客车,600213,252977.847199465,14.0,0.3010772131587776
61,05-27,亚星客车,600213,266011.566336149,14.1,0.3188504192459707
62,05-27,亚星客车,600213,176488.671876109,14.2,0.2130455849918517
63,05-27,亚星客车,600213,86965.7774160679,14.3,0.10571869179765775
64,05-27,亚星客车,600213,46771.7665207337,14.4,0.05725502708532256
65,05-27,亚星客车,600213,39463.6780018691,14.5,0.04864440777756902
66,05-27,亚星客车,600213,32155.5894830045,14.6,0.03990953710895324
67,05-27,亚星客车,600213,24847.5009641398,14.7,0.031050415079475077
68,05-27,亚星客车,600213,17539.4124452751,14.8,0.022067041689134686
69,05-27,亚星客车,600213,10231.3239264104,14.9,0.012959416937932042
70,05-27,亚星客车,600213,2923.2354075458,15.0,0.0037275408258672822
