,date,name,code,jeton,price,percentage
0,05-20,亚星客车,600213,5717.0500126215,7.86,0.0018544946981227603
1,05-20,亚星客车,600213,135925.676214241,7.98,0.04476467668963079
2,05-20,亚星客车,600213,134838.17214111,8.1,0.045074294103138395
3,05-20,亚星客车,600213,100747.192732934,8.22,0.03417714883720447
4,05-20,亚星客车,600213,99665.7685069791,8.34,0.034303870888510904
5,05-20,亚星客车,600213,138014.339049896,8.46,0.04818652760979052
6,05-20,亚星客车,600213,188573.128152843,8.58,0.06677257919638221
7,05-20,亚星客车,600213,139090.175766994,8.7,0.0499397963650479
8,05-20,亚星客车,600213,142123.321007803,8.82,0.05173268158688322
9,05-20,亚星客车,600213,235386.921058032,8.94,0.08684621703184696
10,05-20,亚星客车,600213,146117.880867364,9.06,0.054633952572235175
11,05-20,亚星客车,600213,95469.8655746936,9.18,0.03616929559321738
12,05-20,亚星客车,600213,70914.147775222,9.3,0.027217416246087457
13,05-20,亚星客车,600213,115702.030580625,9.42,0.04498036158563913
14,05-20,亚星客车,600213,78177.0476896115,9.54,0.030779297177296536
15,05-20,亚星客车,600213,40652.0647985977,9.66,0.016206558237001564
16,05-20,亚星客车,600213,3127.08190758439,9.78,0.0012621447647545216
17,05-20,亚星客车,600213,142845.539176238,10.02,0.059069794878536315
18,05-20,亚星客车,600213,633735.012532489,10.14,0.26520195132040614
19,05-20,亚星客车,600213,2747113.12395315,10.26,1.1632015254193575
20,05-20,亚星客车,600213,4414991.10110528,10.38,1.891290515446531
21,05-20,亚星客车,600213,4127114.90932218,10.5,1.788409295687522
22,05-20,亚星客车,600213,3839238.71753908,10.62,1.6826767422143334
23,05-20,亚星客车,600213,3175287.73973471,10.74,1.4074028510246666
24,05-20,亚星客车,600213,2519693.57227598,10.86,1.1292981376329634
25,05-20,亚星客车,600213,1907835.62467087,10.98,0.8645186223459339
26,05-20,亚星客车,600213,1295977.67706577,11.1,0.593678824048044
27,05-20,亚星客车,600213,890706.154710517,11.22,0.41243771183413275
28,05-20,亚星客车,600213,1747187.484641,11.34,0.8176804668863397
29,05-20,亚星客车,600213,1986357.01147826,11.46,0.9394485142273201
30,05-20,亚星客车,600213,2474441.18874306,11.58,1.1825424894578396
31,05-20,亚星客车,600213,2907275.908778,11.7,1.4037933147028419
32,05-20,亚星客车,600213,2819494.8435575,11.82,1.3753709267825194
33,05-20,亚星客车,600213,3412028.11353337,11.84,1.6672294069324936
34,05-20,亚星客车,600213,4971250.76064582,12.06,2.474252608684667
35,05-20,亚星客车,600213,7181250.10164397,12.18,3.6097605890778874
36,05-20,亚星客车,600213,8871197.65115146,12.3,4.503170861575867
37,05-20,亚星客车,600213,7823907.91340654,12.42,4.010295589481911
38,05-20,亚星客车,600213,7192472.70648349,12.54,3.722260962222759
39,05-20,亚星客车,600213,5253483.17615117,12.66,2.7448088799025285
40,05-20,亚星客车,600213,3629151.68918338,12.78,1.9141106222995419
41,05-20,亚星客车,600213,3011127.59286643,12.9,1.6030605531865822
42,05-20,亚星客车,600213,2383829.86392643,13.02,1.2809061151068906
43,05-20,亚星客车,600213,1969815.66333223,13.14,1.0681986144087516
44,05-20,亚星客车,600213,1607952.95161116,13.26,0.8799295851538849
45,05-20,亚星客车,600213,1246090.23989009,13.38,0.6880764062566178
46,05-20,亚星客车,600213,833567.907177164,13.5,0.4644145448135283
47,05-20,亚星客车,600213,490422.979453652,13.6,0.27525852504716747
48,05-20,亚星客车,600213,494165.076677208,13.74,0.28021400750696157
49,05-20,亚星客车,600213,511995.383327175,13.86,0.29286018595861574
50,05-20,亚星客车,600213,543913.899403554,13.98,0.313811162052208
