,date,name,code,jeton,price,percentage
0,05-22,亚星客车,600213,15315.1114501395,7.92,0.009906963744064195
1,05-22,亚星客车,600213,53731.4081360298,8.04,0.035284137145861615
2,05-22,亚星客车,600213,97704.5614661854,8.16,0.06511787639465172
3,05-22,亚星客车,600213,82854.3770173641,8.28,0.05603263207141735
4,05-22,亚星客车,600213,95500.9122125176,8.4,0.06552122921863478
5,05-22,亚星客车,600213,132980.751983699,8.52,0.09253874593112155
6,05-22,亚星客车,600213,136923.504275268,8.64,0.09662443744342286
7,05-22,亚星客车,600213,93339.1992333721,8.76,0.06678261295025098
8,05-22,亚星客车,600213,156241.316938698,8.88,0.11331935323983502
9,05-22,亚星客车,600213,156170.80947694,9.0,0.11479886685227224
10,05-22,亚星客车,600213,92263.1177446221,9.12,0.06872554538336909
11,05-22,亚星客车,600213,65786.5017170851,9.24,0.04964825565012237
12,05-22,亚星客车,600213,77235.4077304729,9.36,0.05904559764240941
13,05-22,亚星客车,600213,80241.3263016047,9.48,0.062130044732003786
14,05-22,亚星客车,600213,49180.1677332417,9.6,0.03856172641594363
15,05-22,亚星客车,600213,18119.0091648782,9.72,0.014384538735420825
16,05-22,亚星客车,600213,34989.6055031269,9.96,0.02846384821645678
17,05-22,亚星客车,600213,236283.368471995,10.08,0.19453104336955857
18,05-22,亚星客车,600213,897982.409138961,10.2,0.748106161132507
19,05-22,亚星客车,600213,5223955.24965469,10.32,4.403260462772245
20,05-22,亚星客车,600213,7834308.33057525,10.44,6.680306501855073
21,05-22,亚星客车,600213,9068816.29025439,10.56,7.821854859420401
22,05-22,亚星客车,600213,7420742.84940858,10.68,6.473123089767483
23,05-22,亚星客车,600213,4127072.40511203,10.8,3.6405003248249255
24,05-22,亚星客车,600213,1832435.03204046,10.92,1.634355221068715
25,05-22,亚星客车,600213,1325971.99681209,11.04,1.1956351003448469
26,05-22,亚星客车,600213,897236.738682774,11.16,0.8178364698406245
27,05-22,亚星客车,600213,1669731.40897666,11.28,1.5383350907446327
28,05-22,亚星客车,600213,1480715.54624098,11.4,1.3787061661345206
29,05-22,亚星客车,600213,1846204.17604142,11.52,1.7371104725947033
30,05-22,亚星客车,600213,2206682.13299503,11.64,2.0979154891822764
31,05-22,亚星客车,600213,2647621.62781442,11.76,2.5430709231749913
32,05-22,亚星客车,600213,2360365.81797833,11.84,2.2825812714457476
33,05-22,亚星客车,600213,2360365.81797833,11.88,2.290292694660091
34,05-22,亚星客车,600213,3388303.02589577,12.0,3.3209223433217416
35,05-22,亚星客车,600213,4978099.8349911,12.12,4.927895076499849
36,05-22,亚星客车,600213,6910403.81997824,12.24,6.908441351669279
37,05-22,亚星客车,600213,6800335.82792951,12.36,6.865055643216807
38,05-22,亚星客车,600213,6170023.54141873,12.48,6.289217828557601
39,05-22,亚星客车,600213,5070315.34806355,12.6,5.217960013700627
40,05-22,亚星客车,600213,3607924.23113441,12.72,3.748346669896708
41,05-22,亚星客车,600213,2536826.12914356,12.84,2.660424609203834
42,05-22,亚星客车,600213,2155840.70841294,12.96,2.282006622280733
43,05-22,亚星客车,600213,1798167.84397885,13.08,1.9210258172529697
44,05-22,亚星客车,600213,1480742.02448582,13.2,1.5964251602795891
45,05-22,亚星客车,600213,1181211.5729626,13.32,1.2850710757262271
46,05-22,亚星客车,600213,860714.46936641,13.44,0.9448298447856756
47,05-22,亚星客车,600213,519250.713697223,13.56,0.5750849763459683
48,05-22,亚星客车,600213,407494.466084368,13.6,0.45264304749937456
49,05-22,亚星客车,600213,410591.972499673,13.8,0.46279085778272816
50,05-22,亚星客车,600213,437012.399978473,13.92,0.4968533538689768
51,05-22,亚星客车,600213,463432.827457273,14.04,0.5314337504338064
52,05-22,亚星客车,600213,381586.278718638,14.16,0.4413175856101931
53,05-22,亚星客车,600213,191472.753762569,14.28,0.2233214408760945
54,05-22,亚星客车,600213,88151.7634601451,14.4,0.10367850524843146
55,05-22,亚星客车,600213,71623.307811368,14.52,0.08494077539363692
56,05-22,亚星客车,600213,55094.8521625906,14.64,0.06587905020994073
57,05-22,亚星客车,600213,38566.3965138135,14.76,0.0464933296973435
58,05-22,亚星客车,600213,22037.9408650361,14.88,0.026783613855844584
59,05-22,亚星客车,600213,5509.48521625896,15.0,0.006749902685444621
