,date,name,code,jeton,price,percentage
0,05-24,亚星客车,600213,3623.97390161594,7.86,0.002442628133260013
1,05-24,亚星客车,600213,19832.6810506639,7.98,0.013571694227174877
2,05-24,亚星客车,600213,42132.1114079878,8.1,0.02926496372756667
3,05-24,亚星客车,600213,41734.5395214684,8.22,0.029418274159616536
4,05-24,亚星客车,600213,61098.3673336779,8.34,0.04369637432900139
5,05-24,亚星客车,600213,87485.7420630212,8.46,0.063468376643476
6,05-24,亚星客车,600213,119534.39159414,8.58,0.08794879847352303
7,05-24,亚星客车,600213,88167.702895366,8.7,0.06577767609366736
8,05-24,亚星客车,600213,90090.3796549245,8.82,0.06813915595499764
9,05-24,亚星客车,600213,149209.130025589,8.94,0.11438857884248924
10,05-24,亚星客车,600213,92622.4863616235,9.06,0.07196053443518718
11,05-24,亚星客车,600213,60517.2773492715,9.18,0.04764000623222157
12,05-24,亚星客车,600213,44951.6831627121,9.3,0.0358491327608749
13,05-24,亚星客车,600213,73342.2198970562,9.42,0.059245408878498204
14,05-24,亚星客车,600213,49555.5539844975,9.54,0.04054062666414712
15,05-24,亚星客车,600213,25768.8880719385,9.66,0.02134629725988913
16,05-24,亚星客车,600213,1982.22215937986,9.78,0.0016624206657247418
17,05-24,亚星客车,600213,1190372.76352987,9.88,1.008531978497364
18,05-24,亚星客车,600213,3089890.25965241,10.08,2.670873596590829
19,05-24,亚星客车,600213,4372995.3489342,10.2,3.824977938381703
20,05-24,亚星客车,600213,7493213.71028477,10.32,6.631283019451869
21,05-24,亚星客车,600213,9299608.76512032,10.44,8.325588165215517
22,05-24,亚星客车,600213,10458731.4252531,10.56,9.470931080206437
23,05-24,亚星客车,600213,8385752.93657555,10.68,7.680032591357159
24,05-24,亚星客车,600213,5052574.63720387,10.8,4.6793576537304755
25,05-24,亚星客车,600213,2484456.85057914,10.92,2.3265042176276034
26,05-24,亚星客车,600213,1285724.73815816,11.04,1.2172136693785038
27,05-24,亚星客车,600213,687104.780735987,11.16,0.6575623097201976
28,05-24,亚星客车,600213,1278681.96228479,11.28,1.236862395719272
29,05-24,亚星客车,600213,1133933.42789989,11.4,1.1085164876611142
30,05-24,亚星客车,600213,1413824.98161536,11.52,1.3966830982985017
31,05-24,亚星客车,600213,1689879.35711541,11.64,1.686779943835606
32,05-24,亚星客车,600213,2027551.25778959,11.76,2.0446967721445595
33,05-24,亚星客车,600213,1807570.4748779,11.88,1.8414563421578267
34,05-24,亚星客车,600213,2594765.80405422,12.0,2.6701100366698074
35,05-24,亚星客车,600213,3812233.77079386,12.12,3.9621589254799368
36,05-24,亚星客车,600213,5291994.07114562,12.24,5.554570894417847
37,05-24,亚星客车,600213,5207703.89411417,12.36,5.519687628984094
38,05-24,亚星客车,600213,4725010.12250825,12.48,5.056698685112073
39,05-24,亚星客车,600213,3882852.50179134,12.6,4.195378862604715
40,05-24,亚星客车,600213,2762951.93995856,12.72,3.013770582240739
41,05-24,亚星客车,600213,1942703.95546831,12.84,2.139052262129424
42,05-24,亚星客车,600213,1650944.94395142,12.96,1.834794119215698
43,05-24,亚星客车,600213,1377038.71107358,13.08,1.5445559350895133
44,05-24,亚星客车,600213,1133953.70496594,13.2,1.2835683592019933
45,05-24,亚星客车,600213,904572.989325881,13.32,1.0332313804419022
46,05-24,亚星客车,600213,659135.990818354,13.44,0.7596683664044933
47,05-24,亚星客车,600213,397642.709443353,13.56,0.46238364181183256
48,05-24,亚星客车,600213,312059.664633306,13.6,0.36393706904569856
49,05-24,亚星客车,600213,314431.738105733,13.8,0.3720961788611664
50,05-24,亚星客车,600213,334664.527565985,13.92,0.39948333317292445
51,05-24,亚星客车,600213,354897.317026238,14.04,0.4272868932668413
52,05-24,亚星客车,600213,292219.149157612,14.16,0.3548310959653473
53,05-24,亚星客车,600213,146630.02396011,14.28,0.17955638796732154
54,05-24,亚星客车,600213,67506.7075303841,14.4,0.08336028031714203
55,05-24,亚星客车,600213,54849.1998684371,14.52,0.06829464632232522
56,05-24,亚星客车,600213,42191.69220649,14.64,0.05296851145151725
57,05-24,亚星客车,600213,29534.184544543,14.76,0.03738187570471832
58,05-24,亚星客车,600213,16876.6768825959,14.88,0.021534739081928198
59,05-24,亚星客车,600213,4219.16922064892,15.0,0.005427101583147156
