,date,name,code,jeton,price,percentage
0,05-23,广和通,300638,16345.8732304772,25.6,0.015072662798369628
1,05-23,广和通,300638,450446.913741716,26.4,0.42834079078575293
2,05-23,广和通,300638,453810.1849668,27.2,0.44461594576660923
3,05-23,广和通,300638,1496472.70222969,28.0,1.5092761943588893
4,05-23,广和通,300638,594540.891593086,28.8,0.6167598716831217
5,05-23,广和通,300638,811260.710611499,29.6,0.8649560609415572
6,05-23,广和通,300638,144535.949525861,30.4,0.1582673588917205
7,05-23,广和通,300638,190313.093959433,31.2,0.21387752772869104
8,05-23,广和通,300638,101576.527246236,32.0,0.11708067854684012
9,05-23,广和通,300638,159620.257101228,32.8,0.18858352151651747
10,05-23,广和通,300638,52312.5212348561,33.6,0.06331211482763986
11,05-23,广和通,300638,43997.3469506717,36.0,0.05705200105535019
12,05-23,广和通,300638,115829.750135441,36.8,0.15353586134351274
13,05-23,广和通,300638,24130.1780697705,39.2,0.03407128281118351
14,05-23,广和通,300638,226622.767684593,40.0,0.32651671766591955
15,05-23,广和通,300638,531919.642434095,40.8,0.781714346858391
16,05-23,广和通,300638,305228.372025,41.6,0.4573620465321251
17,05-23,广和通,300638,238158.513278315,42.4,0.3637255914063417
18,05-23,广和通,300638,451104.82277396,43.2,0.7019450382904677
19,05-23,广和通,300638,1563465.48830086,44.0,2.4778948165873627
20,05-23,广和通,300638,2838776.89406015,44.8,4.580903754186552
21,05-23,广和通,300638,4100450.46073813,45.01,6.6478693220667235
22,05-23,广和通,300638,4280389.30228217,46.4,7.153904562757965
23,05-23,广和通,300638,4349079.41511191,47.2,7.3940303394900875
24,05-23,广和通,300638,3511835.69801509,48.0,6.07179804649
25,05-23,广和通,300638,403841.053936233,48.8,0.7098591426599286
26,05-23,广和通,300638,397009.114693915,48.9,0.699280194915495
27,05-23,广和通,300638,191508.932996726,50.4,0.34766539454215784
28,05-23,广和通,300638,165697.182025627,51.2,0.3055814413947265
29,05-23,广和通,300638,492425.511643005,52.0,0.9223288216766222
30,05-23,广和通,300638,420283.23261789,52.8,0.7993148436433274
31,05-23,广和通,300638,276546.305512981,53.6,0.5339179750602402
32,05-23,广和通,300638,280797.255436915,54.4,0.550216550577796
33,05-23,广和通,300638,714788.755961862,55.2,1.421211396859644
34,05-23,广和通,300638,1142489.33307477,56.0,2.3045284423157497
35,05-23,广和通,300638,1703814.55110368,56.8,3.485880943909199
36,05-23,广和通,300638,1962240.71036999,57.6,4.071145806292146
37,05-23,广和通,300638,2675732.28490408,58.4,5.628561263464579
38,05-23,广和通,300638,1845039.57289245,59.2,3.934316405012223
39,05-23,广和通,300638,1377979.85204796,60.0,2.9780775971724545
40,05-23,广和通,300638,2125705.17798526,60.8,4.6553088751388625
41,05-23,广和通,300638,2421512.41961263,61.6,5.372906766962539
42,05-23,广和通,300638,1526175.364965,62.4,3.430290655762501
43,05-23,广和通,300638,1098391.81100867,63.2,2.5004389548295696
44,05-23,广和通,300638,1091481.61166503,64.0,2.516160203141337
45,05-23,广和通,300638,804312.368487486,64.8,1.8773344280283168
46,05-23,广和通,300638,516414.435930196,65.6,1.220236762655022
47,05-23,广和通,300638,373757.002836563,66.4,0.8939213490744847
48,05-23,广和通,300638,408836.616854945,67.2,0.9896028798098622
49,05-23,广和通,300638,380669.869394991,68.0,0.9323936505429453
50,05-23,广和通,300638,397664.558048072,68.8,0.9854786409608142
51,05-23,广和通,300638,414659.246701153,69.6,1.0395430651775819
52,05-23,广和通,300638,453171.652030812,70.4,1.1491514930073314
53,05-23,广和通,300638,346228.489309677,71.2,0.8879421783759734
54,05-23,广和通,300638,239285.326588542,72.0,0.6205695411755229
55,05-23,广和通,300638,132342.163867406,72.8,0.347033581405977
56,05-23,广和通,300638,25399.0011462713,73.6,0.06733429906734184
