,date,name,code,jeton,price,percentage
0,05-22,广和通,300638,2563.07071451636,25.2,0.002413601556547595
1,05-22,广和通,300638,193329.242743439,26.0,0.18783449252406986
2,05-22,广和通,300638,394671.440121203,26.8,0.39525278840259914
3,05-22,广和通,300638,834010.300063662,27.6,0.8601712926611835
4,05-22,广和通,300638,1154760.38547768,28.4,1.2255038075082438
5,05-22,广和通,300638,413138.194571289,29.2,0.4507986914998877
6,05-22,广和通,300638,351490.062748266,30.0,0.39403858786753115
7,05-22,广和通,300638,251600.854595881,30.8,0.2895791416332433
8,05-22,广和通,300638,142763.811087021,31.6,0.1685814028909962
9,05-22,广和通,300638,135312.264113831,32.4,0.16382743028390856
10,05-22,广和通,300638,109791.183487319,33.2,0.13621031531725766
11,05-22,广和通,300638,8372.82953382882,35.6,0.011138499644060476
12,05-22,广和通,300638,82797.9809456374,36.4,0.11262260751216276
13,05-22,广和通,300638,38647.4673962585,37.2,0.05372401075701839
14,05-22,广和通,300638,121024.131887978,39.6,0.17909011282849907
15,05-22,广和通,300638,392960.775516219,40.4,0.5932462687172788
16,05-22,广和通,300638,283146.080957405,41.2,0.435925444412938
17,05-22,广和通,300638,281500.057222539,42.0,0.4418066269966091
18,05-22,广和通,300638,240026.133122708,42.8,0.38388995259776987
19,05-22,广和通,300638,976370.768290762,43.6,1.5907638233375754
20,05-22,广和通,300638,1931481.65855335,44.4,3.2046308306153883
21,05-22,广和通,300638,3021127.71421732,45.01,5.081390202284043
22,05-22,广和通,300638,3778247.58171953,46.0,6.494604255514195
23,05-22,广和通,300638,3882751.80567562,46.8,6.790315155638006
24,05-22,广和通,300638,4277943.35951295,47.6,7.609330210338516
25,05-22,广和通,300638,886468.283604889,48.38,1.6026309069874969
26,05-22,广和通,300638,473645.100601049,49.2,0.8708083808013656
27,05-22,广和通,300638,304880.12976047,50.0,0.5696440598271126
28,05-22,广和通,300638,104230.855671432,50.8,0.19786294251404746
29,05-22,广和通,300638,340938.622071748,51.6,0.6574009861934964
30,05-22,广和通,300638,463266.579348241,52.4,0.9071241012048173
31,05-22,广和通,300638,413190.39232138,53.2,0.8214219330211124
32,05-22,广和通,300638,283580.834535173,54.0,0.572235878542647
33,05-22,广和通,300638,388870.95144129,54.8,0.7963252913899821
34,05-22,广和通,300638,895070.056587693,55.6,1.8596716404133826
35,05-22,广和通,300638,1437248.78531434,56.4,3.029113191482043
36,05-22,广和通,300638,2152461.04156361,57.2,4.600825657317873
37,05-22,广和通,300638,1943339.22364939,58.0,4.211929157819292
38,05-22,广和通,300638,2531466.24985717,58.8,5.562293687384173
39,05-22,广和通,300638,1476408.08378716,59.6,3.288191650276594
40,05-22,广和通,300638,1758405.89415503,60.4,3.9688119116653717
41,05-22,广和通,300638,2566900.61218688,61.2,5.870362548540969
42,05-22,广和通,300638,2086964.38467482,62.0,4.835163621555477
43,05-22,广和通,300638,1242699.91559031,62.8,2.916287662887422
44,05-22,广和通,300638,1087663.94340094,63.6,2.5849746911190943
45,05-22,广和通,300638,1044367.50666117,64.4,2.5132961535553084
46,05-22,广和通,300638,679712.384952962,65.2,1.6560644214819165
47,05-22,广和通,300638,390395.835886779,66.0,0.9628387496781071
48,05-22,广和通,300638,399283.448471613,66.8,0.9966948591780924
49,05-22,广和通,300638,385605.872857773,67.6,0.9740803526578597
50,05-22,广和通,300638,403213.974774518,68.4,1.0306142082334233
51,05-22,广和通,300638,420822.076691262,69.2,1.088200842228577
52,05-22,广和通,300638,438430.178608007,70.0,1.1468402546433258
53,05-22,广和通,300638,414127.008982639,70.8,1.0956485326434262
54,05-22,广和通,300638,303323.795876917,71.6,0.8115662023724102
55,05-22,广和通,300638,192520.582771193,72.4,0.5208590108795024
56,05-22,广和通,300638,81717.3696654707,73.2,0.22352695816471274
