,date,name,code,jeton,price,percentage
0,06-17,中通客车,000957,76024.2295749969,7.17,0.01172931364456539
1,06-17,中通客车,000957,289421.526700454,7.23,0.045026744044807415
2,06-17,中通客车,000957,1189297.21441356,7.29,0.18656034928259269
3,06-17,中通客车,000957,2089172.90212666,7.35,0.3304175749205762
4,06-17,中通客车,000957,1918297.84156361,7.41,0.305869140209201
5,06-17,中通客车,000957,3824754.28798024,7.47,0.6147882494913263
6,06-17,中通客车,000957,8904371.25338179,7.53,1.4427784646898212
7,06-17,中通客车,000957,8609354.67127299,7.59,1.4060921753488456
8,06-17,中通客车,000957,6433887.50878331,7.65,1.059098406699683
9,06-17,中通客车,000957,9616870.35497382,7.71,1.595473354579949
10,06-17,中通客车,000957,8970749.02554291,7.77,1.4998614455548147
11,06-17,中通客车,000957,8374053.01938964,7.83,1.4109086124627752
12,06-17,中通客车,000957,6916419.72234505,7.89,1.1742478127890532
13,06-17,中通客车,000957,6669337.02371464,7.95,1.1409095335503998
14,06-17,中通客车,000957,7722019.6303954,8.01,1.3309594789706933
15,06-17,中通客车,000957,8715780.94738853,8.07,1.5134959304620994
16,06-17,中通客车,000957,9823468.93091292,8.13,1.7185288911540988
17,06-17,中通客车,000957,10213203.6628418,8.19,1.7998955791469633
18,06-17,中通客车,000957,9698794.90989223,8.25,1.7217620874925417
19,06-17,中通客车,000957,10636404.4711076,8.27,1.8927871096826536
20,06-17,中通客车,000957,11348683.7882742,8.37,2.0439598918289925
21,06-17,中通客车,000957,10053962.8184442,8.43,1.823754034284858
22,06-17,中通客车,000957,8798376.9223115,8.49,1.607354497072358
23,06-17,中通客车,000957,9124213.31745727,8.55,1.6786608471488984
24,06-17,中通客车,000957,9654571.86012264,8.61,1.7887003296787385
25,06-17,中通客车,000957,9346733.07560131,8.67,1.7437344747888464
26,06-17,中通客车,000957,8862014.30336152,8.73,1.6647464848376665
27,06-17,中通客车,000957,7367465.67932892,8.79,1.3935046192247582
28,06-17,中通客车,000957,6489267.67073774,8.85,1.2357777606531983
29,06-17,中通客车,000957,5595977.30927404,8.91,1.0728896730097286
30,06-17,中通客车,000957,4849997.66240788,8.97,0.9361283300810276
31,06-17,中通客车,000957,2990411.81265502,9.03,0.5810589113349468
32,06-17,中通客车,000957,1830422.7780154,9.09,0.3580277679228155
33,06-17,中通客车,000957,1484178.0145683,9.15,0.29221903635584556
34,06-17,中通客车,000957,1472579.20991071,9.21,0.2918365691816643
35,06-17,中通客车,000957,1496159.30150456,9.27,0.29844134407094314
36,06-17,中通客车,000957,1257591.67333057,9.33,0.2524775185423161
37,06-17,中通客车,000957,1019024.04515657,9.39,0.20589767391769276
38,06-17,中通客车,000957,793714.268668749,9.45,0.1613977263509274
39,06-17,中通客车,000957,641499.334306889,9.51,0.13127382604152052
