,date,name,code,jeton,price,percentage
0,06-13,新国都,300130,2188.9488931159,10.78,0.000717039856744193
1,06-13,新国都,300130,31630.9907808727,10.92,0.010496012707480745
2,06-13,新国都,300130,159269.667336964,11.06,0.05352751893903265
3,06-13,新国都,300130,203080.734502462,11.2,0.06911553308179949
4,06-13,新国都,300130,296370.253337103,11.34,0.10212606060543217
5,06-13,新国都,300130,365864.82623828,11.48,0.12762961551903343
6,06-13,新国都,300130,455042.613425604,11.62,0.16067455690396606
7,06-13,新国都,300130,1130570.15868142,11.76,0.40401152460293255
8,06-13,新国都,300130,1256693.55672876,11.9,0.45442818905607596
9,06-13,新国都,300130,943656.81298299,12.04,0.34524665583386827
10,06-13,新国都,300130,451559.339712311,12.18,0.16712869863128227
11,06-13,新国都,300130,282088.036346342,12.32,0.1056049534261607
12,06-13,新国都,300130,232210.521476941,12.46,0.08792023697113244
13,06-13,新国都,300130,202744.302516164,12.6,0.07762616259384256
14,06-13,新国都,300130,205804.850403586,12.74,0.07967350954655163
15,06-13,新国都,300130,434288.34468591,12.88,0.16997417852990543
16,06-13,新国都,300130,1152550.66164544,13.02,0.45599483395154844
17,06-13,新国都,300130,1355751.98744671,13.16,0.5421569793076271
18,06-13,新国都,300130,427416.526633884,13.3,0.1727395824911337
19,06-13,新国都,300130,122655.845864717,13.44,0.05009292994714576
20,06-13,新国都,300130,32102.6260999933,13.79,0.013452213166833104
21,06-13,新国都,300130,181914.881233299,13.93,0.07700310853366718
22,06-13,新国都,300130,340915.832157784,14.07,0.14575725530417988
23,06-13,新国都,300130,725841.096849257,14.21,0.31341844095456506
24,06-13,新国都,300130,808631.073482965,14.35,0.3526072527472164
25,06-13,新国都,300130,797791.512655115,14.49,0.3512745702103199
26,06-13,新国都,300130,532100.403729775,14.63,0.23655211121168235
27,06-13,新国都,300130,465627.102660469,14.77,0.20898141260707973
28,06-13,新国都,300130,437858.478947223,14.91,0.19838111249159368
29,06-13,新国都,300130,543918.959126011,15.05,0.24874800761688398
30,06-13,新国都,300130,719486.710538536,15.19,0.3321004502075207
31,06-13,新国都,300130,1074228.86346175,15.33,0.5004121962962483
32,06-13,新国都,300130,1734242.78567663,15.47,0.8152468400403375
33,06-13,新国都,300130,2178486.43579813,15.61,1.0333481757572407
34,06-13,新国都,300130,3394332.37853238,15.63,1.6121381627761717
35,06-13,新国都,300130,5122295.74136872,15.89,2.473303775314841
36,06-13,新国都,300130,6208038.10447284,16.03,3.0239653475678985
37,06-13,新国都,300130,6857365.40396201,16.17,3.3694283514543164
38,06-13,新国都,300130,7002043.10429254,16.31,3.4703050710082453
39,06-13,新国都,300130,5238725.75108366,16.45,2.6186682325813626
40,06-13,新国都,300130,6912450.79471391,16.59,3.484715705907431
41,06-13,新国都,300130,9453844.80848213,16.71,4.8003602687017874
42,06-13,新国都,300130,10783418.325456,16.87,5.527903458813055
43,06-13,新国都,300130,11736055.2784888,17.01,6.066181132269527
44,06-13,新国都,300130,10607341.7056552,17.15,5.527892613712501
45,06-13,新国都,300130,8989720.21341464,17.29,4.723131993021339
46,06-13,新国都,300130,9376822.46803899,17.43,4.966403422782859
47,06-13,新国都,300130,10707643.7667391,17.57,5.716820939130656
48,06-13,新国都,300130,9828440.90870862,17.71,5.289225779203348
49,06-13,新国都,300130,8932574.92541996,17.85,4.845111791850816
50,06-13,新国都,300130,8211519.91866181,17.99,4.4889382152930795
51,06-13,新国都,300130,6600477.07966015,18.13,3.6363195869426925
52,06-13,新国都,300130,5507733.50172708,18.27,3.057738767416528
53,06-13,新国都,300130,5321549.38323313,18.41,2.9770134658381915
54,06-13,新国都,300130,4603919.89243592,18.55,2.595138771993974
55,06-13,新国都,300130,3734203.94226578,18.69,2.1207830727115424
56,06-13,新国都,300130,2724609.5689345,18.83,1.5589906532866111
57,06-13,新国都,300130,2165586.2983014,18.97,1.2483367033832415
58,06-13,新国都,300130,1489874.98380722,19.11,0.8651659704284452
59,06-13,新国都,300130,992192.455792229,19.25,0.580384182988927
60,06-13,新国都,300130,732261.170867472,19.39,0.4314522405675764
61,06-13,新国都,300130,472329.885942715,19.53,0.2803087036581734
62,06-13,新国都,300130,212398.601017957,19.67,0.12695357226071727
63,06-13,新国都,300130,87632.7801572119,19.81,0.05275212748605386
