,date,name,code,diff,ranking,total
141,05-10,华电国际,600027,-3,1243,3626
142,05-13,华电国际,600027,-106,1349,3630
143,05-14,华电国际,600027,-34,1383,3629
144,05-15,华电国际,600027,-6,1389,3630
145,05-16,华电国际,600027,-9,1398,3630
146,05-17,华电国际,600027,-55,1453,3630
147,05-09,中国石化,600028,-12,217,3627
148,05-10,中国石化,600028,1,216,3626
149,05-13,中国石化,600028,-57,273,3630
150,05-14,中国石化,600028,-5,278,3629
151,05-15,中国石化,600028,-11,289,3630
152,05-16,中国石化,600028,-17,306,3630
153,05-17,中国石化,600028,-9,315,3630
154,05-09,南方航空,600029,-22,209,3627
155,05-10,南方航空,600029,-6,215,3626
156,05-13,南方航空,600029,-56,271,3630
157,05-14,南方航空,600029,20,251,3629
158,05-15,南方航空,600029,-9,260,3630
159,05-16,南方航空,600029,-25,285,3630
160,05-17,南方航空,600029,-2,287,3630
161,05-09,中信证券,600030,3,15,3627
162,05-10,中信证券,600030,1,14,3626
163,05-13,中信证券,600030,-4,18,3630
164,05-14,中信证券,600030,-6,24,3629
165,05-15,中信证券,600030,-3,27,3630
166,05-16,中信证券,600030,-4,31,3630
167,05-17,中信证券,600030,-6,37,3630
168,05-09,三一重工,600031,-5,40,3627
169,05-10,三一重工,600031,-1,41,3626
170,05-13,三一重工,600031,-2,43,3630
171,05-14,三一重工,600031,-11,54,3629
172,05-15,三一重工,600031,-7,61,3630
173,05-16,三一重工,600031,-9,70,3630
174,05-17,三一重工,600031,-4,74,3630
175,05-09,福建高速,600033,-17,2352,3627
176,05-10,福建高速,600033,4,2348,3626
177,05-13,福建高速,600033,-121,2469,3630
178,05-14,福建高速,600033,-79,2548,3629
179,05-15,福建高速,600033,6,2542,3630
180,05-16,福建高速,600033,-14,2556,3630
181,05-17,福建高速,600033,-76,2632,3630
182,05-09,楚天高速,600035,0,2391,3627
183,05-10,楚天高速,600035,3,2388,3626
184,05-13,楚天高速,600035,-96,2484,3630
185,05-14,楚天高速,600035,-45,2529,3629
186,05-15,楚天高速,600035,-4,2533,3630
187,05-16,楚天高速,600035,6,2527,3630
188,05-17,楚天高速,600035,-72,2599,3630
189,05-09,招商银行,600036,4,146,3627
190,05-10,招商银行,600036,4,142,3626
191,05-13,招商银行,600036,-37,179,3630
192,05-14,招商银行,600036,-4,183,3629
193,05-15,招商银行,600036,25,158,3630
194,05-16,招商银行,600036,-29,187,3630
195,05-17,招商银行,600036,-26,213,3630
196,05-09,歌华有线,600037,329,1463,3627
