,date,name,code,diff,ranking,total
15636,05-14,乐通股份,002319,93,3006,3629
15637,05-15,乐通股份,002319,280,2726,3630
15638,05-16,乐通股份,002319,284,2442,3630
15639,05-17,乐通股份,002319,45,2397,3630
15640,05-09,海峡股份,002320,-42,2053,3627
15641,05-10,海峡股份,002320,5,2048,3626
15642,05-13,海峡股份,002320,495,1553,3630
15643,05-14,海峡股份,002320,-47,1600,3629
15644,05-15,海峡股份,002320,102,1498,3630
15645,05-16,海峡股份,002320,383,1115,3630
15646,05-17,海峡股份,002320,-18,1133,3630
15647,05-09,华英农业,002321,-4,162,3627
15648,05-10,华英农业,002321,-29,191,3626
15649,05-13,华英农业,002321,-72,263,3630
15650,05-14,华英农业,002321,-79,342,3629
15651,05-15,华英农业,002321,-73,415,3630
15652,05-16,华英农业,002321,-70,485,3630
15653,05-17,华英农业,002321,89,396,3630
15654,05-09,理工环科,002322,-58,2878,3627
15655,05-10,理工环科,002322,-9,2887,3626
15656,05-13,理工环科,002322,135,2752,3630
15657,05-14,理工环科,002322,-21,2773,3629
15658,05-15,理工环科,002322,-53,2826,3630
15659,05-16,理工环科,002322,-63,2889,3630
15660,05-17,理工环科,002322,17,2872,3630
15661,05-09,*ST百特,002323,-18,3586,3627
15662,05-10,*ST百特,002323,-15,3601,3626
15663,05-13,*ST百特,002323,13,3588,3630
15664,05-14,*ST百特,002323,-3,3591,3629
15665,05-15,*ST百特,002323,8,3583,3630
15666,05-16,*ST百特,002323,-5,3588,3630
15667,05-17,*ST百特,002323,16,3572,3630
15668,05-09,普利特,002324,33,3530,3627
15669,05-10,普利特,002324,-4,3534,3626
15670,05-13,普利特,002324,81,3453,3630
15671,05-14,普利特,002324,11,3442,3629
15672,05-15,普利特,002324,46,3396,3630
15673,05-16,普利特,002324,7,3389,3630
15674,05-17,普利特,002324,4,3385,3630
15675,05-09,洪涛股份,002325,-116,1796,3627
15676,05-10,洪涛股份,002325,-80,1876,3626
15677,05-13,洪涛股份,002325,-253,2129,3630
15678,05-14,洪涛股份,002325,-59,2188,3629
15679,05-15,洪涛股份,002325,-44,2232,3630
15680,05-16,洪涛股份,002325,-28,2260,3630
15681,05-17,洪涛股份,002325,-50,2310,3630
15682,05-09,永太科技,002326,-48,1117,3627
15683,05-10,永太科技,002326,-3,1120,3626
15684,05-13,永太科技,002326,-109,1229,3630
15685,05-14,永太科技,002326,-74,1303,3629
15686,05-15,永太科技,002326,-69,1372,3630
15687,05-16,永太科技,002326,287,1085,3630
15688,05-17,永太科技,002326,41,1044,3630
15689,05-09,富安娜,002327,37,2123,3627
15690,05-10,富安娜,002327,-97,2220,3626
15691,05-13,富安娜,002327,-84,2304,3630
15692,05-14,富安娜,002327,42,2262,3629
15693,05-15,富安娜,002327,230,2032,3630
15694,05-16,富安娜,002327,-61,2093,3630
15695,05-17,富安娜,002327,4,2089,3630
15696,05-09,新朋股份,002328,180,839,3627
15697,05-10,新朋股份,002328,91,748,3626
15698,05-13,新朋股份,002328,156,592,3630
15699,05-14,新朋股份,002328,22,570,3629
15700,05-15,新朋股份,002328,43,527,3630
15701,05-16,新朋股份,002328,-32,559,3630
15702,05-17,新朋股份,002328,-67,626,3630
15703,05-09,皇氏集团,002329,-80,1028,3627
15704,05-10,皇氏集团,002329,-19,1047,3626
15705,05-13,皇氏集团,002329,-61,1108,3630
15706,05-14,皇氏集团,002329,-232,1340,3629
15707,05-15,皇氏集团,002329,-130,1470,3630
15708,05-16,皇氏集团,002329,-77,1547,3630
15709,05-17,皇氏集团,002329,-30,1577,3630
15710,05-09,得利斯,002330,-48,513,3627
15711,05-10,得利斯,002330,-28,541,3626
15712,05-13,得利斯,002330,-150,691,3630
15713,05-14,得利斯,002330,-45,736,3629
15714,05-15,得利斯,002330,-189,925,3630
15715,05-16,得利斯,002330,-156,1081,3630
15716,05-17,得利斯,002330,-85,1166,3630
15717,05-09,皖通科技,002331,-45,1586,3627
15718,05-10,皖通科技,002331,-71,1657,3626
15719,05-13,皖通科技,002331,-191,1848,3630
15720,05-14,皖通科技,002331,-14,1862,3629
15721,05-15,皖通科技,002331,-305,2167,3630
15722,05-16,皖通科技,002331,-149,2316,3630
15723,05-17,皖通科技,002331,75,2241,3630
15724,05-09,仙琚制药,002332,131,2156,3627
15725,05-10,仙琚制药,002332,11,2145,3626
15726,05-13,仙琚制药,002332,-22,2167,3630
15727,05-14,仙琚制药,002332,-39,2206,3629
15728,05-15,仙琚制药,002332,-28,2234,3630
15729,05-16,仙琚制药,002332,-84,2318,3630
15730,05-17,仙琚制药,002332,397,1921,3630
15731,05-09,*ST罗普,002333,135,1341,3627
15732,05-10,*ST罗普,002333,192,1149,3626
15733,05-13,*ST罗普,002333,2,1147,3630
15734,05-14,*ST罗普,002333,-3,1150,3629
15735,05-15,*ST罗普,002333,-47,1197,3630
15736,05-16,*ST罗普,002333,-112,1309,3630
15737,05-17,*ST罗普,002333,-95,1404,3630
15738,05-09,英威腾,002334,3,1104,3627
15739,05-10,英威腾,002334,11,1093,3626
15740,05-13,英威腾,002334,-58,1151,3630
15741,05-14,英威腾,002334,-35,1186,3629
15742,05-15,英威腾,002334,19,1167,3630
15743,05-16,英威腾,002334,-20,1187,3630
15744,05-17,英威腾,002334,-17,1204,3630
15745,05-09,科华恒盛,002335,129,1928,3627
15746,05-10,科华恒盛,002335,-26,1954,3626
15747,05-13,科华恒盛,002335,-148,2102,3630
15748,05-14,科华恒盛,002335,-26,2128,3629
15749,05-15,科华恒盛,002335,-74,2202,3630
15750,05-16,科华恒盛,002335,-198,2400,3630
15751,05-17,科华恒盛,002335,-67,2467,3630
15752,05-09,*ST人乐,002336,-85,3377,3627
15753,05-10,*ST人乐,002336,-54,3431,3626
15754,05-13,*ST人乐,002336,-21,3452,3630
15755,05-14,*ST人乐,002336,-35,3487,3629
15756,05-15,*ST人乐,002336,-29,3516,3630
15757,05-16,*ST人乐,002336,-3,3519,3630
15758,05-17,*ST人乐,002336,44,3475,3630
15759,05-09,赛象科技,002337,-30,1511,3627
15760,05-10,赛象科技,002337,155,1356,3626
15761,05-13,赛象科技,002337,93,1263,3630
15762,05-14,赛象科技,002337,-45,1308,3629
15763,05-15,赛象科技,002337,-92,1400,3630
15764,05-16,赛象科技,002337,552,848,3630
15765,05-17,赛象科技,002337,67,781,3630
15766,05-09,奥普光电,002338,36,3144,3627
15767,05-10,奥普光电,002338,39,3105,3626
15768,05-13,奥普光电,002338,-46,3151,3630
15769,05-14,奥普光电,002338,204,2947,3629
15770,05-15,奥普光电,002338,-8,2955,3630
15771,05-16,奥普光电,002338,23,2932,3630
15772,05-17,奥普光电,002338,404,2528,3630
15773,05-09,积成电子,002339,-32,2127,3627
15774,05-10,积成电子,002339,40,2087,3626
15775,05-13,积成电子,002339,-21,2108,3630
15776,05-14,积成电子,002339,-35,2143,3629
15777,05-15,积成电子,002339,32,2111,3630
15778,05-16,积成电子,002339,55,2056,3630
15779,05-17,积成电子,002339,-29,2085,3630
15780,05-09,格林美,002340,5,272,3627
15781,05-10,格林美,002340,2,270,3626
15782,05-13,格林美,002340,-46,316,3630
15783,05-14,格林美,002340,-20,336,3629
15784,05-15,格林美,002340,-14,350,3630
15785,05-16,格林美,002340,58,292,3630
15786,05-17,格林美,002340,-27,319,3630
15787,05-09,新纶科技,002341,11,330,3627
15788,05-10,新纶科技,002341,-39,369,3626
15789,05-13,新纶科技,002341,44,325,3630
15790,05-14,新纶科技,002341,-61,386,3629
15791,05-15,新纶科技,002341,-62,448,3630
15792,05-16,新纶科技,002341,-84,532,3630
15793,05-17,新纶科技,002341,-13,545,3630
15794,05-09,巨力索具,002342,-37,1290,3627
15795,05-10,巨力索具,002342,5,1285,3626
15796,05-13,巨力索具,002342,7,1278,3630
15797,05-14,巨力索具,002342,-76,1354,3629
15798,05-15,巨力索具,002342,-29,1383,3630
15799,05-16,巨力索具,002342,-1,1384,3630
15800,05-17,巨力索具,002342,-15,1399,3630
15801,05-09,慈文传媒,002343,-85,1862,3627
15802,05-10,慈文传媒,002343,-19,1881,3626
15803,05-13,慈文传媒,002343,252,1629,3630
15804,05-14,慈文传媒,002343,78,1551,3629
15805,05-15,慈文传媒,002343,5,1546,3630
15806,05-16,慈文传媒,002343,166,1380,3630
15807,05-17,慈文传媒,002343,-46,1426,3630
15808,05-09,海宁皮城,002344,-70,2483,3627
15809,05-10,海宁皮城,002344,-56,2539,3626
15810,05-13,海宁皮城,002344,-9,2548,3630
15811,05-14,海宁皮城,002344,-50,2598,3629
15812,05-15,海宁皮城,002344,-35,2633,3630
15813,05-16,海宁皮城,002344,-20,2653,3630
15814,05-17,海宁皮城,002344,47,2606,3630
15815,05-09,潮宏基,002345,22,2458,3627
15816,05-10,潮宏基,002345,-28,2486,3626
15817,05-13,潮宏基,002345,-38,2524,3630
15818,05-14,潮宏基,002345,320,2204,3629
15819,05-15,潮宏基,002345,-60,2264,3630
15820,05-16,潮宏基,002345,-70,2334,3630
15821,05-17,潮宏基,002345,-43,2377,3630
15822,05-09,柘中股份,002346,-69,1800,3627
15823,05-10,柘中股份,002346,1,1799,3626
15824,05-13,柘中股份,002346,148,1651,3630
15825,05-14,柘中股份,002346,-9,1660,3629
15826,05-15,柘中股份,002346,-26,1686,3630
15827,05-16,柘中股份,002346,-53,1739,3630
15828,05-17,柘中股份,002346,41,1698,3630
15829,05-09,泰尔股份,002347,-104,661,3627
15830,05-10,泰尔股份,002347,-68,729,3626
15831,05-13,泰尔股份,002347,-109,838,3630
15832,05-14,泰尔股份,002347,-167,1005,3629
15833,05-15,泰尔股份,002347,146,859,3630
15834,05-16,泰尔股份,002347,-84,943,3630
15835,05-17,泰尔股份,002347,-92,1035,3630
15836,05-09,高乐股份,002348,-331,1323,3627
15837,05-10,高乐股份,002348,-12,1335,3626
15838,05-13,高乐股份,002348,-154,1489,3630
15839,05-14,高乐股份,002348,8,1481,3629
15840,05-15,高乐股份,002348,-86,1567,3630
15841,05-16,高乐股份,002348,143,1424,3630
15842,05-17,高乐股份,002348,-91,1515,3630
15843,05-09,精华制药,002349,-23,2252,3627
15844,05-10,精华制药,002349,-59,2311,3626
15845,05-13,精华制药,002349,-124,2435,3630
15846,05-14,精华制药,002349,-39,2474,3629
15847,05-15,精华制药,002349,-34,2508,3630
15848,05-16,精华制药,002349,-41,2549,3630
15849,05-17,精华制药,002349,19,2530,3630
15850,05-09,北京科锐,002350,161,2285,3627
15851,05-10,北京科锐,002350,-24,2309,3626
15852,05-13,北京科锐,002350,-114,2423,3630
15853,05-14,北京科锐,002350,-26,2449,3629
15854,05-15,北京科锐,002350,-22,2471,3630
15855,05-16,北京科锐,002350,-102,2573,3630
15856,05-17,北京科锐,002350,-64,2637,3630
15857,05-09,漫步者,002351,195,1573,3627
15858,05-10,漫步者,002351,-129,1702,3626
15859,05-13,漫步者,002351,95,1607,3630
15860,05-14,漫步者,002351,-29,1636,3629
15861,05-15,漫步者,002351,-27,1663,3630
15862,05-16,漫步者,002351,1,1662,3630
15863,05-17,漫步者,002351,-78,1740,3630
15864,05-09,顺丰控股,002352,40,713,3627
15865,05-10,顺丰控股,002352,-23,736,3626
15866,05-13,顺丰控股,002352,-68,804,3630
15867,05-14,顺丰控股,002352,32,772,3629
15868,05-15,顺丰控股,002352,-29,801,3630
15869,05-16,顺丰控股,002352,-44,845,3630
15870,05-17,顺丰控股,002352,-7,852,3630
15871,05-09,杰瑞股份,002353,121,1131,3627
15872,05-10,杰瑞股份,002353,-9,1140,3626
15873,05-13,杰瑞股份,002353,0,1140,3630
15874,05-14,杰瑞股份,002353,-24,1164,3629
15875,05-15,杰瑞股份,002353,366,798,3630
15876,05-16,杰瑞股份,002353,-87,885,3630
15877,05-17,杰瑞股份,002353,-45,930,3630
15878,05-09,天神娱乐,002354,-132,1027,3627
15879,05-10,天神娱乐,002354,-168,1195,3626
15880,05-13,天神娱乐,002354,-179,1374,3630
15881,05-14,天神娱乐,002354,10,1364,3629
15882,05-15,天神娱乐,002354,-116,1480,3630
15883,05-16,天神娱乐,002354,-77,1557,3630
15884,05-17,天神娱乐,002354,129,1428,3630
15885,05-09,兴民智通,002355,167,1422,3627
15886,05-10,兴民智通,002355,-77,1499,3626
15887,05-13,兴民智通,002355,-88,1587,3630
15888,05-14,兴民智通,002355,-37,1624,3629
15889,05-15,兴民智通,002355,-60,1684,3630
15890,05-16,兴民智通,002355,489,1195,3630
15891,05-17,兴民智通,002355,-22,1217,3630
15892,05-09,*ST赫美,002356,-11,307,3627
15893,05-10,*ST赫美,002356,31,276,3626
15894,05-13,*ST赫美,002356,-5,281,3630
15895,05-14,*ST赫美,002356,-13,294,3629
15896,05-15,*ST赫美,002356,28,266,3630
15897,05-16,*ST赫美,002356,-6,272,3630
15898,05-17,*ST赫美,002356,11,261,3630
15899,05-09,富临运业,002357,260,1962,3627
15900,05-10,富临运业,002357,241,1721,3626
15901,05-13,富临运业,002357,235,1486,3630
15902,05-14,富临运业,002357,12,1474,3629
15903,05-15,富临运业,002357,244,1230,3630
15904,05-16,富临运业,002357,-45,1275,3630
15905,05-17,富临运业,002357,-85,1360,3630
15906,05-09,森源电气,002358,-11,409,3627
15907,05-10,森源电气,002358,8,401,3626
15908,05-13,森源电气,002358,-47,448,3630
15909,05-14,森源电气,002358,-17,465,3629
15910,05-15,森源电气,002358,-8,473,3630
15911,05-16,森源电气,002358,-26,499,3630
15912,05-17,森源电气,002358,40,459,3630
15913,05-09,*ST北讯,002359,-24,275,3627
15914,05-10,*ST北讯,002359,13,262,3626
15915,05-13,*ST北讯,002359,-33,295,3630
15916,05-14,*ST北讯,002359,-14,309,3629
15917,05-15,*ST北讯,002359,18,291,3630
15918,05-16,*ST北讯,002359,-3,294,3630
15919,05-17,*ST北讯,002359,-20,314,3630
15920,05-09,同德化工,002360,-100,2323,3627
15921,05-10,同德化工,002360,-100,2423,3626
15922,05-13,同德化工,002360,-159,2582,3630
15923,05-14,同德化工,002360,18,2564,3629
15924,05-15,同德化工,002360,-133,2697,3630
15925,05-16,同德化工,002360,-35,2732,3630
15926,05-17,同德化工,002360,-80,2812,3630
15927,05-09,神剑股份,002361,-4,2052,3627
15928,05-10,神剑股份,002361,-10,2062,3626
15929,05-13,神剑股份,002361,-87,2149,3630
15930,05-14,神剑股份,002361,18,2131,3629
15931,05-15,神剑股份,002361,-46,2177,3630
15932,05-16,神剑股份,002361,11,2166,3630
15933,05-17,神剑股份,002361,-53,2219,3630
15934,05-09,汉王科技,002362,89,1584,3627
15935,05-10,汉王科技,002362,45,1539,3626
15936,05-13,汉王科技,002362,39,1500,3630
15937,05-14,汉王科技,002362,18,1482,3629
15938,05-15,汉王科技,002362,-44,1526,3630
15939,05-16,汉王科技,002362,165,1361,3630
15940,05-17,汉王科技,002362,16,1345,3630
15941,05-09,隆基机械,002363,-48,2509,3627
15942,05-10,隆基机械,002363,56,2453,3626
15943,05-13,隆基机械,002363,-127,2580,3630
15944,05-14,隆基机械,002363,-5,2585,3629
15945,05-15,隆基机械,002363,31,2554,3630
15946,05-16,隆基机械,002363,60,2494,3630
15947,05-17,隆基机械,002363,-63,2557,3630
15948,05-09,中恒电气,002364,212,1658,3627
15949,05-10,中恒电气,002364,-15,1673,3626
15950,05-13,中恒电气,002364,-23,1696,3630
15951,05-14,中恒电气,002364,141,1555,3629
15952,05-15,中恒电气,002364,167,1388,3630
15953,05-16,中恒电气,002364,-37,1425,3630
15954,05-17,中恒电气,002364,-68,1493,3630
15955,05-09,永安药业,002365,-77,2289,3627
15956,05-10,永安药业,002365,-14,2303,3626
15957,05-13,永安药业,002365,-98,2401,3630
15958,05-14,永安药业,002365,5,2396,3629
15959,05-15,永安药业,002365,15,2381,3630
15960,05-16,永安药业,002365,20,2361,3630
15961,05-17,永安药业,002365,25,2336,3630
15962,05-09,台海核电,002366,-20,809,3627
15963,05-10,台海核电,002366,-44,853,3626
15964,05-13,台海核电,002366,-9,862,3630
15965,05-14,台海核电,002366,51,811,3629
15966,05-15,台海核电,002366,-50,861,3630
15967,05-16,台海核电,002366,-70,931,3630
15968,05-17,台海核电,002366,-11,942,3630
15969,05-09,康力电梯,002367,-97,851,3627
15970,05-10,康力电梯,002367,206,645,3626
15971,05-13,康力电梯,002367,75,570,3630
15972,05-14,康力电梯,002367,-54,624,3629
15973,05-15,康力电梯,002367,-42,666,3630
15974,05-16,康力电梯,002367,-34,700,3630
15975,05-17,康力电梯,002367,-115,815,3630
15976,05-09,太极股份,002368,-47,1686,3627
15977,05-10,太极股份,002368,104,1582,3626
15978,05-13,太极股份,002368,-63,1645,3630
15979,05-14,太极股份,002368,17,1628,3629
15980,05-15,太极股份,002368,-149,1777,3630
15981,05-16,太极股份,002368,-124,1901,3630
15982,05-17,太极股份,002368,-64,1965,3630
15983,05-09,卓翼科技,002369,-50,1378,3627
15984,05-10,卓翼科技,002369,63,1315,3626
15985,05-13,卓翼科技,002369,-6,1321,3630
15986,05-14,卓翼科技,002369,59,1262,3629
15987,05-15,卓翼科技,002369,86,1176,3630
15988,05-16,卓翼科技,002369,-32,1208,3630
15989,05-17,卓翼科技,002369,26,1182,3630
15990,05-09,亚太药业,002370,12,393,3627
15991,05-10,亚太药业,002370,-78,471,3626
15992,05-13,亚太药业,002370,-12,483,3630
15993,05-14,亚太药业,002370,-147,630,3629
15994,05-15,亚太药业,002370,-232,862,3630
15995,05-16,亚太药业,002370,-277,1139,3630
15996,05-17,亚太药业,002370,-123,1262,3630
15997,05-09,北方华创,002371,98,194,3627
15998,05-10,北方华创,002371,33,161,3626
15999,05-13,北方华创,002371,38,123,3630
16000,05-14,北方华创,002371,-9,132,3629
16001,05-15,北方华创,002371,-46,178,3630
16002,05-16,北方华创,002371,-53,231,3630
16003,05-17,北方华创,002371,-10,241,3630
16004,05-09,伟星新材,002372,43,943,3627
16005,05-10,伟星新材,002372,-18,961,3626
16006,05-13,伟星新材,002372,-151,1112,3630
16007,05-14,伟星新材,002372,-47,1159,3629
16008,05-15,伟星新材,002372,-91,1250,3630
16009,05-16,伟星新材,002372,-213,1463,3630
16010,05-17,伟星新材,002372,-130,1593,3630
16011,05-09,千方科技,002373,-58,825,3627
16012,05-10,千方科技,002373,48,777,3626
16013,05-13,千方科技,002373,-2,779,3630
16014,05-14,千方科技,002373,-52,831,3629
16015,05-15,千方科技,002373,122,709,3630
16016,05-16,千方科技,002373,83,626,3630
16017,05-17,千方科技,002373,1,625,3630
16018,05-09,丽鹏股份,002374,-99,2209,3627
16019,05-10,丽鹏股份,002374,-19,2228,3626
16020,05-13,丽鹏股份,002374,123,2105,3630
16021,05-14,丽鹏股份,002374,-19,2124,3629
16022,05-15,丽鹏股份,002374,-46,2170,3630
16023,05-16,丽鹏股份,002374,-43,2213,3630
16024,05-17,丽鹏股份,002374,-61,2274,3630
16025,05-09,亚厦股份,002375,-40,2605,3627
16026,05-10,亚厦股份,002375,-30,2635,3626
16027,05-13,亚厦股份,002375,-43,2678,3630
16028,05-14,亚厦股份,002375,-33,2711,3629
16029,05-15,亚厦股份,002375,192,2519,3630
16030,05-16,亚厦股份,002375,-65,2584,3630
16031,05-17,亚厦股份,002375,-63,2647,3630
16032,05-09,新北洋,002376,-55,1048,3627
16033,05-10,新北洋,002376,-30,1078,3626
16034,05-13,新北洋,002376,-118,1196,3630
16035,05-14,新北洋,002376,-54,1250,3629
16036,05-15,新北洋,002376,-87,1337,3630
16037,05-16,新北洋,002376,167,1170,3630
16038,05-17,新北洋,002376,7,1163,3630
16039,05-09,国创高新,002377,-73,2479,3627
16040,05-10,国创高新,002377,-48,2527,3626
16041,05-13,国创高新,002377,-175,2702,3630
16042,05-14,国创高新,002377,-93,2795,3629
16043,05-15,国创高新,002377,-27,2822,3630
16044,05-16,国创高新,002377,85,2737,3630
16045,05-17,国创高新,002377,299,2438,3630
16046,05-09,章源钨业,002378,-56,2224,3627
16047,05-10,章源钨业,002378,-54,2278,3626
16048,05-13,章源钨业,002378,-124,2402,3630
16049,05-14,章源钨业,002378,61,2341,3629
16050,05-15,章源钨业,002378,-82,2423,3630
16051,05-16,章源钨业,002378,667,1756,3630
16052,05-17,章源钨业,002378,-12,1768,3630
16053,05-09,宏创控股,002379,-64,2639,3627
16054,05-10,宏创控股,002379,85,2554,3626
16055,05-13,宏创控股,002379,-35,2589,3630
16056,05-14,宏创控股,002379,-8,2597,3629
16057,05-15,宏创控股,002379,66,2531,3630
16058,05-16,宏创控股,002379,136,2395,3630
16059,05-17,宏创控股,002379,-64,2459,3630
16060,05-09,科远股份,002380,-6,3054,3627
16061,05-10,科远股份,002380,-5,3059,3626
16062,05-13,科远股份,002380,-66,3125,3630
16063,05-14,科远股份,002380,-4,3129,3629
16064,05-15,科远股份,002380,20,3109,3630
16065,05-16,科远股份,002380,-9,3118,3630
16066,05-17,科远股份,002380,17,3101,3630
16067,05-09,双箭股份,002381,-41,1882,3627
16068,05-10,双箭股份,002381,-18,1900,3626
16069,05-13,双箭股份,002381,82,1818,3630
16070,05-14,双箭股份,002381,-6,1824,3629
16071,05-15,双箭股份,002381,83,1741,3630
16072,05-16,双箭股份,002381,-82,1823,3630
16073,05-17,双箭股份,002381,-7,1830,3630
16074,05-09,蓝帆医疗,002382,-146,1738,3627
16075,05-10,蓝帆医疗,002382,-185,1923,3626
16076,05-13,蓝帆医疗,002382,-407,2330,3630
16077,05-14,蓝帆医疗,002382,-99,2429,3629
16078,05-15,蓝帆医疗,002382,-78,2507,3630
16079,05-16,蓝帆医疗,002382,-155,2662,3630
16080,05-17,蓝帆医疗,002382,23,2639,3630
16081,05-09,合众思壮,002383,74,1327,3627
16082,05-10,合众思壮,002383,59,1268,3626
16083,05-13,合众思壮,002383,79,1189,3630
16084,05-14,合众思壮,002383,-38,1227,3629
16085,05-15,合众思壮,002383,-79,1306,3630
16086,05-16,合众思壮,002383,79,1227,3630
16087,05-17,合众思壮,002383,-62,1289,3630
16088,05-09,东山精密,002384,-22,370,3627
16089,05-10,东山精密,002384,105,265,3626
16090,05-13,东山精密,002384,46,219,3630
16091,05-14,东山精密,002384,-29,248,3629
16092,05-15,东山精密,002384,23,225,3630
16093,05-16,东山精密,002384,-5,230,3630
16094,05-17,东山精密,002384,-10,240,3630
16095,05-09,大北农,002385,3,68,3627
16096,05-10,大北农,002385,1,67,3626
16097,05-13,大北农,002385,-2,69,3630
16098,05-14,大北农,002385,-7,76,3629
16099,05-15,大北农,002385,-12,88,3630
16100,05-16,大北农,002385,-13,101,3630
16101,05-17,大北农,002385,-23,124,3630
16102,05-09,天原集团,002386,-47,1320,3627
16103,05-10,天原集团,002386,-14,1334,3626
16104,05-13,天原集团,002386,-89,1423,3630
16105,05-14,天原集团,002386,-35,1458,3629
16106,05-15,天原集团,002386,40,1418,3630
16107,05-16,天原集团,002386,65,1353,3630
16108,05-17,天原集团,002386,-28,1381,3630
16109,05-09,维信诺,002387,-10,1242,3627
16110,05-10,维信诺,002387,-87,1329,3626
16111,05-13,维信诺,002387,-112,1441,3630
16112,05-14,维信诺,002387,-28,1469,3629
16113,05-15,维信诺,002387,-191,1660,3630
16114,05-16,维信诺,002387,-165,1825,3630
16115,05-17,维信诺,002387,-84,1909,3630
16116,05-09,新亚制程,002388,-32,2038,3627
16117,05-10,新亚制程,002388,5,2033,3626
16118,05-13,新亚制程,002388,-64,2097,3630
16119,05-14,新亚制程,002388,-49,2146,3629
16120,05-15,新亚制程,002388,7,2139,3630
16121,05-16,新亚制程,002388,76,2063,3630
16122,05-17,新亚制程,002388,1197,866,3630
16123,05-09,航天彩虹,002389,6,1802,3627
16124,05-10,航天彩虹,002389,88,1714,3626
16125,05-13,航天彩虹,002389,-109,1823,3630
16126,05-14,航天彩虹,002389,75,1748,3629
16127,05-15,航天彩虹,002389,-51,1799,3630
16128,05-16,航天彩虹,002389,-15,1814,3630
16129,05-17,航天彩虹,002389,-70,1884,3630
16130,05-09,信邦制药,002390,-63,1307,3627
16131,05-10,信邦制药,002390,-48,1355,3626
16132,05-13,信邦制药,002390,-187,1542,3630
16133,05-14,信邦制药,002390,-129,1671,3629
16134,05-15,信邦制药,002390,-110,1781,3630
16135,05-16,信邦制药,002390,-94,1875,3630
16136,05-17,信邦制药,002390,-40,1915,3630
16137,05-09,长青股份,002391,435,1364,3627
16138,05-10,长青股份,002391,-17,1381,3626
16139,05-13,长青股份,002391,15,1366,3630
16140,05-14,长青股份,002391,-28,1394,3629
16141,05-15,长青股份,002391,431,963,3630
16142,05-16,长青股份,002391,390,573,3630
16143,05-17,长青股份,002391,111,462,3630
16144,05-09,北京利尔,002392,-44,2074,3627
16145,05-10,北京利尔,002392,-8,2082,3626
16146,05-13,北京利尔,002392,-69,2151,3630
16147,05-14,北京利尔,002392,-3,2154,3629
16148,05-15,北京利尔,002392,41,2113,3630
16149,05-16,北京利尔,002392,3,2110,3630
16150,05-17,北京利尔,002392,-1,2111,3630
16151,05-09,力生制药,002393,-86,3248,3627
16152,05-10,力生制药,002393,-16,3264,3626
16153,05-13,力生制药,002393,-84,3348,3630
16154,05-14,力生制药,002393,-20,3368,3629
16155,05-15,力生制药,002393,25,3343,3630
16156,05-16,力生制药,002393,46,3297,3630
16157,05-17,力生制药,002393,14,3283,3630
16158,05-09,联发股份,002394,10,3417,3627
16159,05-10,联发股份,002394,11,3406,3626
16160,05-13,联发股份,002394,97,3309,3630
16161,05-14,联发股份,002394,75,3234,3629
16162,05-15,联发股份,002394,0,3234,3630
16163,05-16,联发股份,002394,0,3234,3630
16164,05-17,联发股份,002394,41,3193,3630
16165,05-09,双象股份,002395,38,3162,3627
16166,05-10,双象股份,002395,-37,3199,3626
16167,05-13,双象股份,002395,-73,3272,3630
16168,05-14,双象股份,002395,-83,3355,3629
16169,05-15,双象股份,002395,361,2994,3630
16170,05-16,双象股份,002395,80,2914,3630
16171,05-17,双象股份,002395,88,2826,3630
16172,05-09,星网锐捷,002396,-25,1003,3627
16173,05-10,星网锐捷,002396,25,978,3626
16174,05-13,星网锐捷,002396,-59,1037,3630
16175,05-14,星网锐捷,002396,-18,1055,3629
16176,05-15,星网锐捷,002396,-15,1070,3630
16177,05-16,星网锐捷,002396,-44,1114,3630
16178,05-17,星网锐捷,002396,-32,1146,3630
16179,05-09,梦洁股份,002397,166,2416,3627
16180,05-10,梦洁股份,002397,-54,2470,3626
16181,05-13,梦洁股份,002397,214,2256,3630
16182,05-14,梦洁股份,002397,31,2225,3629
16183,05-15,梦洁股份,002397,-97,2322,3630
16184,05-16,梦洁股份,002397,-89,2411,3630
16185,05-17,梦洁股份,002397,-76,2487,3630
16186,05-09,建研集团,002398,9,2672,3627
16187,05-10,建研集团,002398,40,2632,3626
16188,05-13,建研集团,002398,21,2611,3630
16189,05-14,建研集团,002398,-22,2633,3629
16190,05-15,建研集团,002398,-8,2641,3630
16191,05-16,建研集团,002398,66,2575,3630
16192,05-17,建研集团,002398,-13,2588,3630
16193,05-09,海普瑞,002399,54,2107,3627
16194,05-10,海普瑞,002399,-91,2198,3626
16195,05-13,海普瑞,002399,-48,2246,3630
16196,05-14,海普瑞,002399,170,2076,3629
16197,05-15,海普瑞,002399,-27,2103,3630
16198,05-16,海普瑞,002399,26,2077,3630
16199,05-17,海普瑞,002399,-28,2105,3630
16200,05-09,省广集团,002400,27,1528,3627
16201,05-10,省广集团,002400,6,1522,3626
16202,05-13,省广集团,002400,-50,1572,3630
16203,05-14,省广集团,002400,54,1518,3629
16204,05-15,省广集团,002400,-27,1545,3630
16205,05-16,省广集团,002400,-41,1586,3630
16206,05-17,省广集团,002400,-35,1621,3630
16207,05-09,中远海科,002401,6,3215,3627
16208,05-10,中远海科,002401,-5,3220,3626
16209,05-13,中远海科,002401,135,3085,3630
16210,05-14,中远海科,002401,-51,3136,3629
